Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Low / Mid / High
BAYSHORE PARK,50 Bayshore Road  #11-04 ,1,87,Strata,870000,-,10000,929,31-May-19,Condominium,99 Yrs From 17/03/1982,1986,Resale,Private,16,46,469977,East Region,Bedok,Low
WOODHAVEN,77 Woodgrove Avenue  #03-52 ,1,58,Strata,668000,-,11517,1070,31-May-19,Condominium,99 Yrs From 07/02/2011,2015,Resale,Private,25,73,737811,North Region,Woodlands,Low
EIGHT COURTYARDS,12 Canberra Drive  #13-23 ,1,81,Strata,840000,-,10370,963,31-May-19,Condominium,99 Yrs From 20/09/2010,2014,Resale,Private,27,76,768094,North Region,Yishun,Low
D'LEEDON,3 Leedon Heights  #10-05 ,1,139,Strata,2160000,-,15540,1444,31-May-19,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,267951,Central Region,Bukit Timah,High
D'LEEDON,11 Leedon Heights  #08-36 ,1,59,Strata,1100000,-,18644,1732,31-May-19,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,267955,Central Region,Bukit Timah,Mid
AMBER PARK,18A Amber Gardens  #20-27 ,1,465,Strata,12600000,-,27097,2517,31-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439981,Central Region,Marine Parade,High
NV RESIDENCES,95 Pasir Ris Grove  #03-36 ,1,81,Strata,750000,-,9259,860,31-May-19,Condominium,99 Yrs From 07/01/2008,2013,Resale,Private,18,51,518192,East Region,Pasir Ris,Low
THE SPRINGBLOOM,139 Serangoon Avenue 3  #11-03 ,1,153,Strata,1745000,-,11405,1060,31-May-19,Condominium,99 Yrs From 01/03/1995,1999,Resale,Private,19,55,556119,North East Region,Serangoon,Mid
THE INFINITI,39E West Coast Park  #09-14 ,1,85,Strata,1068000,-,12565,1167,31-May-19,Condominium,Freehold,2008,Resale,Private,5,12,127716,West Region,Clementi,Mid
CASA ROSA,35 Lorong Ong Lye  #02-05 ,1,102,Strata,960000,-,9412,874,31-May-19,Condominium,99 Yrs From 02/02/1998,2001,Resale,Private,19,53,536443,North East Region,Serangoon,Low
THE TAPESTRY,55 Tampines Street 86  #13-24 ,1,138,Strata,1806300,-,13089,1216,31-May-19,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528541,East Region,Tampines,High
HILLVIEW REGENCY,26 Bukit Batok East Avenue 2  #24-01 ,1,105,Strata,1080000,-,10286,956,31-May-19,Condominium,99 Yrs From 20/06/2000,2005,Resale,Private,23,65,659920,West Region,Bukit Batok,Mid
THE MILTONIA RESIDENCES,532 Miltonia Close  #01-29 ,1,93,Strata,930000,-,10000,929,31-May-19,Condominium,99 Yrs From 30/11/2010,2014,Resale,Private,27,76,768110,North Region,Yishun,Low
FLAMINGO VALLEY,478 Siglap Road  #04-72 ,1,112,Strata,1785000,-,15938,1481,31-May-19,Condominium,Freehold,2014,Resale,Private,15,45,454852,East Region,Bedok,High
LA SUISSE,58 Swiss View  #01-06 ,1,195,Strata,2550000,-,13077,1215,31-May-19,Condominium,999 Yrs From 10/08/1878,1993,Resale,Private,11,28,288061,Central Region,Bukit Timah,High
BLUE HORIZON,21 West Coast Crescent  #15-02 ,1,108,Strata,1120000,-,10370,963,31-May-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128045,West Region,Clementi,Mid
PARC BOTANNIA,10 Fernvale Street  #07-03 ,1,91,Strata,1283310,-,14102,1310,31-May-19,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797390,North East Region,Sengkang,Mid
MAYFAIR GARDENS,16 Rifle Range Road  #05-42 ,1,61,Strata,1195000,-,19590,1820,31-May-19,Condominium,99 Yrs From 26/09/2018,Uncompleted,New Sale,N.A,21,58,588407,Central Region,Bukit Timah,Mid
LA FIESTA,70 Sengkang Square  #07-43 ,1,93,Strata,1250000,-,13441,1249,31-May-19,Condominium,99 Yrs From 03/09/2012,2016,Resale,Private,19,54,544705,North East Region,Sengkang,Mid
TREASURE AT TAMPINES,15 Tampines Lane  #03-55 ,1,63,Strata,901000,-,14302,1329,31-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528478,East Region,Tampines,Low
TREASURE AT TAMPINES,35 Tampines Lane  #09-110 ,1,76,Strata,1046000,-,13763,1279,31-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528468,East Region,Tampines,Mid
THE SHORE RESIDENCES,85 Amber Road  #17-13 ,1,106,Strata,1780000,-,16792,1560,31-May-19,Condominium,103 Yrs From 18/08/2009,2014,Resale,Private,15,43,439895,Central Region,Marine Parade,High
MEYERHOUSE,128 Meyer Road  #04-12 ,1,285,Strata,7856000,-,27565,2561,31-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,437938,Central Region,Marine Parade,High
PARC OASIS,37 Jurong East Avenue 1  #10-02 ,1,114,Strata,1150000,-,10088,937,31-May-19,Condominium,99 Yrs From 01/12/1991,1994,Resale,Private,22,60,609775,West Region,Jurong East,Mid
MARTIN MODERN,10 Martin Place  #03-10 ,1,71,Strata,1906700,-,26855,2495,31-May-19,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,N.A,9,23,237963,Central Region,River Valley,High
MARTIN MODERN,8 Martin Place  #30-04 ,1,81,Strata,2500000,-,30864,2867,31-May-19,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,N.A,9,23,237992,Central Region,River Valley,High
THE TRE VER,66 Potong Pasir Avenue 1  #18-28 ,1,46,Strata,841000,-,18283,1698,31-May-19,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358394,Central Region,Toa Payoh,Low
THE TRE VER,68 Potong Pasir Avenue 1  #19-35 ,1,102,Strata,1792000,-,17569,1632,31-May-19,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358395,Central Region,Toa Payoh,High
CHILTERN PARK,135 Serangoon Avenue 3  #07-08 ,1,85,Strata,990000,-,11647,1082,31-May-19,Condominium,99 Yrs From 01/03/1991,1995,Resale,Private,19,55,556114,North East Region,Serangoon,Low
ARDMORE PARK,11 Ardmore Park  #17-04 ,1,268,Strata,8000000,-,29851,2773,31-May-19,Condominium,Freehold,2001,Resale,Private,10,25,259957,Central Region,Newton,High
CLOVER BY THE PARK,6 Bishan Street 25  #04-09 ,1,146,Strata,1830000,-,12534,1164,31-May-19,Condominium,99 Yrs From 10/09/2007,2011,Resale,Private,20,57,573975,Central Region,Bishan,High
BUTTERWORTH 8,8 Butterworth Lane  #18-10 ,1,122,Strata,2092800,-,17154,1594,30-May-19,Condominium,Freehold,2004,Resale,Private,15,43,439423,Central Region,Geylang,High
